CONSTITUENCY_NO,CONSTITUENCY,LAT,LONG
193,Madurai Central,9.923218018490797,78.10576884552135
189,Madurai East,9.971561969927842,78.19757420641697
191,Madurai North,9.938998912438018,78.13370431375947
192,Madurai South,9.912252370562202,78.13350173647348
194,Madurai West,9.944554513600924,78.05777686452531
35,Madurantakam,12.479045813355743,79.85190893377998
7,Maduravoyal,13.06446033094721,80.15300626837016
71,Mailam,12.236216333208825,79.54042112672677
144,Manachanallur,10.985624040675708,78.6527187019488
187,Manamadurai,9.693798080255565,78.48718475508322
138,Manapparai,10.508075833841534,78.3738665577257
167,Mannargudi,10.663576192107287,79.42201407457347
111,Mettuppalayam,11.260655237098726,76.90480983703542
85,Mettur,11.822748294168013,77.814063623841
100,Modakkurichi,11.168760790335346,77.77513092155536
212,Mudhukulathur,9.291887772939473,78.47914123645126
145,Musiri,11.043990707673935,78.36899410029034
25,Mylapore,13.029202146995473,80.26416807576578
230,Nagercoil,8.165420190276084,77.40348353516362
94,Namakkal,11.240767607643786,78.14745965669499
169,Nannilam,10.893193836409596,79.52272143452834
131,Natham,10.267717973080039,78.14890499014058
153,Neyveli,11.666484916399032,79.53498612649683
130,Nilakkottai,10.146157470073204,77.82018543813246
128,Oddanchatram,10.561486651489345,77.66036466189753
175,Orathanadu,10.625739887739195,79.22526492264755
217,Ottapidaram,8.82037991468442,77.97079623435467
232,Padmanabhapuram,8.380194977880523,77.34344141680252
57,Palacode,12.3415772643539,78.0788970018008
127,Palani,10.322349161759233,77.49156172282369
226,Palayamkottai,8.707263355542215,77.74252947484568
115,Palladam,10.993959274458103,77.32435930052137
30,Pallavaram,12.959961853569318,80.14461494128223
154,Panruti,11.795297138928321,79.56156770577554
172,Papanasam,10.862356418849771,79.25805814796787
60,Pappireddipatti,12.04510014320158,78.2860506395471
209,Paramakudi,9.499904294687276,78.60491246530049
95,Paramathi-Velur,11.21635579859833,77.99437693402793
176,Pattukkottai,10.423815192873477,79.38375250444274
58,Pennagaram,12.100494077597105,77.88679827788572
147,Perambalur,11.299379143921211,78.81449429494123
12,Perambur,13.12896932863052,80.25681949636297
177,Peravurani,10.327532704942318,79.2199283044429
199,Periyakulam,10.109586829858767,77.57820242273594
103,Perundurai,11.261377614634162,77.50082570380769
123,Pollachi,10.754302522671827,77.02679704457212
66,Polur,12.530136686728444,79.23074541261502
162,Poompuhar,11.05968567073894,79.71808893327253
5,Poonamallee,13.14510832001554,80.01153045601478
180,Pudukkottai,10.441947124289685,78.95452218126267
228,Radhapuram,8.286108032455305,77.70124079363143
202,Rajapalayam,9.434321123756643,77.47996051883334
211,Ramanathapuram,9.288960054787823,78.94699114385693
41,Ranipet,12.932266196849048,79.33510145062772
